priority,module,category,metric_name,definition,formula,dimensions,rules,confirmation,follow_up,owner,source_table,source_field_or_logic,notes
P0,履约明细,,收件人省份,订单收件地址所在的州/省份,,,,,,,lute_os.t_erp_order_receive,province,上游需要清洗，数据乱
P2,履约明细,,仓库类型,发货仓库的类型，如小包仓、海外仓等,,,,映射逻辑确认中,,,,,
P0,履约明细,明细默认列、首页筛选器,发货仓库,实际完成订单发货的仓库名称，与ERP主数据一致,,,,,,,lute_os.t_erp_order,warehouse_code,
P0,履约明细,明细默认列、首页筛选器,物流渠道,订单履约使用的物流服务商及对应渠道编码+名称,,,,,,,lute_os.t_erp_order,sp_code、sp_name,
P0,履约明细,明细默认列、首页筛选器,物流方式,物流配送的类型，如标准快递、专线、平邮等,,,,,,,lute_os.t_erp_order,shipping_code、shipping_name,
P0,履约明细,,发货仓库国家,发货仓库所在的国家,,,,,,,lute_os.t_lute_warehouse,country_code,
P0,履约明细,明细默认列、首页筛选器,店铺,订单所属的线上店铺名称/编码,,,,,,,lute_os.t_erp_order,shop_account,
P0,履约明细,,站点,订单所属平台的站点，如亚马逊美国站、Shopify欧洲站等,,,,预测设置里面的国家对应的备货站点,,,lute_os.t_erp_order,site,
P1,履约明细,明细默认列,GTM组,订单商品所属的产品GTM组,,,sku维表，关联sku_code获取,,,,,,
P0,履约明细,首页筛选器,品线,订单商品所属的产品品线,,,sku维表，关联sku_code获取,,,,dim_sku_info,product_line,
P0,履约明细,首页筛选器,品类,订单商品所属的三级类目,,,sku维表，关联sku_code获取,,,,dim_sku_info,category_level_3,
P0,履约明细,首页筛选器,spu名称,订单商品的SPU名称,,,sku维表，关联sku_code获取,,,,dim_sku_info,spu_name,
P0,履约明细,明细默认列、首页筛选器,产品SKU,订单发货商品的sku_code,,,,,,,lute_os.t_erp_order_item,sku_code,已有
P1,履约明细,明细默认列,MSKU,订单发货商品的MSKU编码,,,,,,,lute_os.t_erp_order_item,seller_sku,
P1,履约明细,明细默认列,供应链SKU,订单发货商品的供应链SKU编码,,,,,,,lute_os.t_erp_order_item,supply_sku,
P0,履约明细,明细默认列,发货数量,该SKU的实际发货数量,,,,,,,lute_os.t_erp_order_item,num,
P0,履约明细,,是否虚拟产品,标识该SKU是否为虚拟商品，是=1/否=0,,,根据拆单规则里面判断,,,,lute_oms.t_rule,,
P0,履约明细,,是否虚拟商品自动发货,标识虚拟商品是否已完成自动发货，是=1/否=0,,,虚拟商品目前都会拆单之后自动发货,,,,ods_t_erp_order,无,
P0,履约明细,明细默认列、首页筛选器,付款时间_北京,订单完成支付的标准北京时间戳,,,,,,,lute_os.t_erp_order,pay_time,
P0,履约明细,明细默认列、首页筛选器,付款时间_本地,订单完成支付的收件地本地时间戳,,,,,,,bigdata.ods_shopify_order,processed_at_zoned,
P2,履约明细,明细默认列,审核时间,订单末次完成审核的时间戳，多次审核取末次值,,,时间均采用北京时间计时,,审核时间如果是多次审核的情况，目前不会更新成最后一次，待优化,海浪,lute_os.t_erp_order,os_auth_time,
P3,履约明细,,出库时间,订单商品实际出库北京时间戳,,,时间均采用北京时间计时,,需优化销售出库单的出库时间,李磊,销售出库单,？,
P0,履约明细,明细默认列,发货时间,订单商品实际完成发货的北京时间戳,,,时间均采用北京时间计时,,,,lute_os.t_erp_order,send_time,
P3,履约明细,,签收时间,客户实际签收包裹时间戳，是妥投时效指标的核心截止时间，待TMS系统对接后落地,,,时间均采用北京时间计时,,拉数据,李磊,,无,
P3,履约明细,,获取跟踪号时间,物流下单生成跟踪号的时间戳，可作为小包或海外仓发货流程完成的标志,,,,,,,,无,问黄捷
P0,履约明细,,跟踪号,订单对应物流单的唯一跟踪编号,,,无特殊规则，按标准化口径统计,,,,lute_os.t_erp_order_receive,track_order_code,
P2,履约明细,明细默认列,末次审单人,完成订单末次审核的操作人员,,,,,"日志需要清晰识别“审核标识、审核人(人或者系统）、审核时间""",海浪,ods_t_erp_order,无,
P3,履约明细,,发货成本,已发货订单物流履约成本，包含小包+尾程费用,,,,,待补充,,,无,
P3,履约明细,,是否跨区发货,标识订单是否跨区发货，目的国与发货仓所在国不一致=1/一致=0,,,,,,,计算,,
P0,履约明细,明细默认列,已等待间隔h,已付款未审核订单，当前统计时点与付款时间的间隔小时,当前统计时点-付款时间,,北京时间,,,,计算,,
P0,履约明细,明细默认列,审单间隔h,已审核订单，末次审核时间与付款时间的间隔小时,末次审核时间-付款时间,,北京时间,,,,计算,,
P3,履约明细,,审核出库间隔h,出库时间-末次审核时间,出库时间-末次审核时间,,,,,,计算,,
P2,履约明细,,审核发货间隔h,已审核订单，发货时间与末次审核时间的间隔小时数,发货时间-出库时间,,,,,,计算,,
P3,履约明细,,出库发货间隔h,发货时间-出库时间,发货时间-出库时间,,,,,,计算,,
P3,履约明细,,发货签收间隔h,签收时间-发货时间,签收时间-发货时间,,,,,,,,
P0,履约明细,明细默认列,付款发货间隔h,已发货订单，发货时间与付款时间的间隔小时数,发货时间-付款时间,,北京时间,,,,计算,,
P3,履约明细,,出库签收间隔h,签收时间-出库时间,签收时间-出库时间,,,,签收时间待补充,,计算,,
P3,履约明细,,付款签收间隔h,签收时间-付款时间,签收时间-付款时间,,,,签收时间待补充,,计算,,
P0,总览,订单,原始总单量,统计周期内，已付款状态的平台原始订单去重总数,统计周期内，按平台原始单号去重的已付款状态订单总数（含已付款已取消订单）,时间（付款日期_北京、付款日期_本地）、渠道、收件区域、收件国家、收件省份、发货仓库、发货仓库国家、物流渠道、物流方式、店铺、站点、品线、品类（三级类目）、spu名称、sku_code,,,,,计算,,
P0,总览,订单,拆分总单量,统计周期内，有效已付款拆分订单总数,统计周期内，已付款有效拆分订单总数（含异常状态订单，拆单废弃订单不统计）,时间（付款日期_北京、付款日期_本地）、渠道、收件区域、收件国家、收件省份、发货仓库、发货仓库国家、物流渠道、物流方式、店铺、站点、品线、品类（三级类目）、spu名称、sku_code,因为拆单废弃的不统计，比如CO单又被拆分成_1和_2，这样只看拆后的那两个。其他类型的废弃需要计算在内；整单只有虚拟商品的暂不剔除只做标记,,,,计算,,
P0,总览,订单,未审核订单量,统计周期内，处于待审核和异常状态的拆分订单总数,统计周期内，待审核和异常状态的拆分订单总数,时间（付款日期_北京、付款日期_本地）、渠道、收件区域、收件国家、收件省份、发货仓库、发货仓库国家、物流渠道、物流方式、店铺、站点、品线、品类（三级类目）、spu名称、sku_code,,,,,计算,,
P0,总览,订单,异常订单量,统计周期内，处于异常状态的拆分订单总数,统计周期内，异常状态的拆分订单总数,时间（付款日期_北京、付款日期_本地）、渠道、收件区域、收件国家、收件省份、发货仓库、发货仓库国家、物流渠道、物流方式、店铺、站点、品线、品类（三级类目）、spu名称、sku_code,,,,,计算,,
P0,总览,订单,标发失败订单量,统计周期内，标发状态为标发失败的拆分订单总数,"统计周期内，标发状态为""标发失败""的去重订单总数",时间（付款日期_北京、付款日期_本地）、渠道、收件区域、收件国家、收件省份、发货仓库、发货仓库国家、物流渠道、物流方式、店铺、站点、品线、品类（三级类目）、spu名称、sku_code,,,,,计算,,
P0,总览,订单,拆单率,原始订单拆分为子订单的扩增比例,拆分总单量 ÷ 原始总单量 - 1,时间（付款日期_北京、付款日期_本地）、渠道、收件区域、收件国家、收件省份、发货仓库、发货仓库国家、物流渠道、物流方式、店铺、站点、品线、品类（三级类目）、spu名称、sku_code,,,,,计算,,
